slug|np|ac|dc_ac|nseg|modules|module_w|tilt|rack|orient|azimuth|row_spacing|setback|keepouts|inverters
hotel-yori-inn|230945|180000|1.28|8|323|715|5|flush|horizontal|89-359.5|0.025|0.5|0|2x Huawei SUN2000-40KTL-M3 (480V) (2022) + 1x Huawei SUN2000-100KTL-M2 (480V)
alfa-montes|10010|8000|1.25|2|14|715|0/10|flush/rack|horizontal/vertical|180-180.3|0.025|0.8/0|0|1x Growatt MID 8KTL3-XL
casa-santiago|10725|10000|1.07|4|15||6/8/15|flush|horizontal|86.8-266.6|0.025|0.5/0.2/0.4|3|1x GROWATT MID 10KTL3-XL
tiendas-3b-7664|17160|15000|1.14|2|24|715|3|flush|horizontal|11.7-192.1|0.025|0.4/0.6|0|1x Growatt 15000TL3-S
oreilly-autopartes|38610|30000|1.29|3|54|715|4/10|flush/rack|horizontal/vertical|179.1-358.9|0.025/1.2|0.6|0|1x Huawei SUN2000-30KTL-M3 (480V) (2022)
calimax-californias|48620|40000|1.22|1|68|715|3|flush|horizontal|187.4-187.4|0.025|0.3|8|1x Huawei SUN2000-40KTL-M3 (480V) (2022)
up-fitness|103680|80000|1.3|1|324|715|2|flush|horizontal|170.6-170.6|0.025|0.6|0|2x Huawei SUN2000-40KTL-M3 (480V) (2022)
centro-joyero-guadalajara|122980|100000|1.23|6|172||4|flush|horizontal|176.9-358|0.025|0.5|0|1x Huawei SUN2000-100KTL-M2 (480V)
casino-solaz-delicias|181610|140000|1.3|11|254|715|3.4/10/3.9/3/4|flush|horizontal/vertical|47.1-229.1|0.025/0.6|0/0.5/0.2/0.8|34|1x Huawei SUN2000-100KTL-M2 (400V) + 1x Huawei SUN2000-40KTL-M3
universidad-anahuac-veracruz|200200|160000|1.25|11|280|715|4|flush/rack|horizontal/vertical|7.7-277.3|0.025/1.3/1.2|0.4/0.5|0|4x Huawei SUN2000-40KTL-M3 (480V) (2022)
pinnacle-aerospace|203775|160000|1.27|3|285|715|3|carport|vertical|0.1-180.1|0.025|0|0|2x Huawei SUN2000-40KTL-M3 (480V) (2022) + 2x Huawei SUN2000-40KTL-M3 (480V) (2022)
smart-plastics|229515|180000|1.28|4|321|715|4/10|flush/rack|horizontal/vertical|23.1-203|0.025/1.2|0.4/0.2/0|0|1x Huawei SUN2000-100KTL-M1 (480) + 2x Huawei SUN2000-40KTL-M3 (480V) (2022)
africam-safari|328185|260000|1.26|3|459|715|4|carport|vertical|65.5-245.6|0.025|0|0|1x Huawei SUN2000-100KTL-M2 (480V) + 4x Huawei SUN2000-40KTL-M3 (480V) (2022)
tiendas-3b-cedis|327470|260000|1.26|2|458|715|3|flush|horizontal|328.4-328.4|0.025|0/0.8|0|4x Huawei SUN2000-40KTL-M3 (480V) (2022) + 1x Huawei SUN2000-100KTL-M2 (480V)
universidad-anahuac-queretaro|430430|340000|1.27|9|602|715|10|rack|vertical|214.6-214.9|1.2/0.6/1.6/0.025|1/0|0|3x Huawei SUN2000-100KTL-M2 (480V) + 1x Huawei SUN2000-40KTL-M3 (480V) (2022)
equialum|481195|400000|1.2|4|673|715|4|flush|horizontal|77.6-258|0.025|0.6|0|2x Huawei SUN2000-100KTL-M2 (480V) + 2x Huawei SUN2000-100KTL-M2 (480V)
hotel-tesoro-manzanillo|487630|380000|1.28|33|682|715|10/0|flush|vertical/horizontal|23-322.6|0.025/0.61|0/1|0|4x Huawei SUN2000-40KTL-M3 (480V) (2022) + 1x Huawei SUN2000-60KTL-M0 (480) + 4x Huawei SUN2000-40KTL-M3 (480V) (2022)
foro-sol|549120|440000|1.25|8|768|715|10/0|rack/flush|vertical|188.2-188.2|1.2|0/1|0|3x Huawei SUN2000-100KTL-M2 (480V) + 1x Huawei SUN2000-40KTL-M3 (480V) (2022) + 1x Huawei SUN2000-100KTL-M2 (480V)
kotobukiya-treves|583440|480000|1.22|6|816|715|3|flush|horizontal|88.5-359.2|0.025|0.4|0|4x Huawei SUN2000-100KTL-M2 (480V) + 2x Huawei SUN2000-40KTL-M3 (480V) (2022)
conservas-del-norte|588445|480000|1.23|7|823|715|3|flush|horizontal|41-224|0.025|0.4/0.5|0|4x Huawei SUN2000-100KTL-M2 (480V) + 2x Huawei SUN2000-40KTL-M3 (480V) (2022)
yaqui|700700|580000|1.21|3|980||4|flush|horizontal|90-270.1|0.025|0/1|0|5x Huawei SUN2000-100KTL-M1 (480) + 2x Huawei SUN2000-40KTL-M3 (480V) (2022)
productores-pecuarios-petatlan|725010|560000|1.29|12|1014|715|4/10/0|flush|horizontal/vertical|114.4-295.3|0.025|0.5/0/0.7|0|4x Huawei SUN2000-100KTL-M1 (380/400) + 4x Huawei SUN2000-40KTL-M3 (480V) (2022)
leche-19-hermanos|2498210|2000000|1.25|10|3494|715|3|flush|horizontal|83.9-354.4|0.025|0.8|0|2x Huawei SUN2000-100KTL-M2 (480V) + 12x Huawei SUN2000-100KTL-M2 (480V) + 6x Huawei SUN2000-100KTL-M2 (480V)
molex-de-mexico|1138280|880000|1.29|10|1592|715|4/10|flush/rack|horizontal/vertical|151.7-332.2|0.025/1.3|0.6/0|0|2x Huawei SUN2000-40KTL-M3 (480V) (2022) + 3x Huawei SUN2000-100KTL-M2 (480V) + 2x Huawei SUN2000-100KTL-M2 (480V) + 3x Huawei SUN2000-100KTL-M2 (480V)
